,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
22,0.52,13.026,10.267,1.298,5.221,6.815,2.777,9.371,12.142,12.726,10.856,10.772,8.546,13.246,2.78,11.933,10.131,10.838,12.321,7.661,13.866,10.356,0.0,11.232,9.825,0.821,7.537,7.503,2.78,13.199,6.941,12.924,9.166,12.767,7.246
23,10.774,3.392,2.444,11.749,6.108,4.56,8.955,2.064,1.585,1.569,1.251,1.116,3.022,2.04,8.959,1.25,1.113,1.202,2.139,5.386,3.089,0.996,11.232,0.0,2.512,10.53,3.822,3.744,8.96,2.03,4.323,1.692,4.344,2.965,3.998
24,9.427,5.857,0.456,10.111,4.622,3.062,7.261,1.161,4.088,3.399,3.318,1.444,3.352,4.273,7.263,2.417,1.847,1.413,4.619,2.997,4.122,1.646,9.825,2.512,0.0,9.051,2.422,2.708,7.263,3.821,3.582,3.836,1.832,2.946,3.236
25,0.699,12.446,9.491,1.415,4.47,6.065,1.956,8.635,11.492,12.006,10.206,10.032,7.917,12.554,1.959,11.195,9.423,10.094,11.695,6.843,13.113,9.636,0.821,10.53,9.051,0.0,6.795,6.789,1.959,12.479,6.273,12.222,8.355,11.988,6.564
26,7.11,6.455,2.878,7.959,2.327,0.741,5.142,1.841,5.05,5.23,3.841,3.237,2.222,5.86,5.146,4.399,2.712,3.301,5.409,2.515,6.334,2.872,7.537,3.822,2.422,6.795,0.0,0.528,5.146,5.7,1.336,5.493,2.787,5.333,1.072
27,7.056,6.15,3.156,8.008,2.376,0.96,5.235,1.917,4.846,5.224,3.596,3.308,1.759,5.777,5.24,4.459,2.634,3.389,5.16,3.033,6.435,2.854,7.503,3.744,2.708,6.789,0.528,0.0,5.241,5.697,0.889,5.434,3.283,5.539,0.574
28,2.547,11.215,7.689,2.848,2.866,4.405,0.011,6.976,10.07,10.37,8.798,8.35,6.619,10.999,0.0,9.506,7.846,8.399,10.34,4.903,11.37,8.019,2.78,8.96,7.263,1.959,5.146,5.241,0.0,10.838,4.9,10.638,6.437,10.173,5.134
29,12.752,3.658,3.527,13.659,8.022,6.44,10.834,3.863,2.195,0.473,2.944,2.504,5.039,0.892,10.838,1.405,3.082,2.476,2.665,6.813,1.368,2.844,13.199,2.03,3.821,12.479,5.7,5.697,10.838,0.0,6.332,0.63,5.473,2.263,5.998
30,6.47,6.318,4.024,7.56,2.103,1.304,4.893,2.702,5.223,5.861,3.938,4.05,1.724,6.313,4.9,5.173,3.252,4.144,5.454,3.663,7.168,3.526,6.941,4.323,3.582,6.273,1.336,0.889,4.9,6.332,0.0,6.008,4.121,6.36,0.356
31,12.466,3.058,3.605,13.436,7.794,6.234,10.633,3.687,1.569,0.579,2.417,2.426,4.615,0.449,10.638,1.511,2.801,2.431,2.035,6.827,1.998,2.624,12.924,1.692,3.836,12.222,5.493,5.434,10.638,0.63,6.008,0.0,5.58,2.757,5.686
32,8.836,7.681,1.977,9.229,4.271,3.065,6.437,2.703,5.92,5.094,5.098,3.259,4.594,6.026,6.437,4.094,3.612,3.21,6.448,1.585,5.475,3.46,9.166,4.344,1.832,8.355,2.787,3.283,6.437,5.473,4.121,5.58,0.0,4.026,3.851
33,12.372,5.771,2.5,13.018,7.568,6.002,10.171,3.661,4.057,2.194,4.213,2.44,5.596,3.133,10.172,1.729,3.454,2.318,4.622,5.571,1.558,3.091,12.767,2.965,2.946,11.988,5.333,5.539,10.173,2.263,6.36,2.757,4.026,0.0,6.004
34,6.781,6.112,3.675,7.833,2.294,1.224,5.128,2.346,4.95,5.526,3.67,3.698,1.551,6.001,5.134,4.825,2.916,3.79,5.206,3.508,6.819,3.182,7.246,3.998,3.236,6.564,1.072,0.574,5.134,5.998,0.356,5.686,3.851,6.004,0.0
